,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total 1999-Q3,Total 2003-Q3,Total 2004-Q2,Total 2004-Q3,Total 2004-Q4,Total 2005-Q1,Total 2005-Q2,Total 2005-Q3,Total 2005-Q4,Total 2006-Q1,Total 2006-Q2,Total 2006-Q3,Total 2006-Q4,Total 2007-Q1,Total 2007-Q2,Total 2007-Q4,Total 2008-Q1,Total 2008-Q2,Total 2008-Q3,Total 2008-Q4,Total 2009-Q1,Total 2009-Q2,Total 2009-Q3,Total 2009-Q4,Total 2010-Q1,Total 2010-Q2,Total 2010-Q3,Total 2010-Q4,Total 2011-Q1,Total 2011-Q2,Total 2011-Q3,Total 2011-Q4,Total 2012-Q1,Total 2012-Q2,Total 2012-Q3,Total 2012-Q4,Total 2013-Q1,Total 2013-Q2,Total 2013-Q3,Total 2013-Q4,Total 2014-Q1,Total 2014-Q2,Total 2014-Q3,Total 2014-Q4,Total 2015-Q1,Total 2015-Q2,Total 2015-Q3,Total 2015-Q4,Total 2016-Q1,Total 2016-Q2,Total 2016-Q3,Total 2016-Q4,Total 2017-Q1,Total 2017-Q2,Total 2017-Q3,Total 2017-Q4,Total 2018-Q1,Total 2018-Q2,Total 2018-Q3,Total 2018-Q4,Total 2019-Q1,Total 2019-Q2,Total 2019-Q3,Total 2019-Q4,Total 2020-Q1,Total 2020-Q2,Total 2020-Q3,Total 2020-Q4,Total 2021-Q1,Total 2021-Q2,Total 2021-Q3,Total 2021-Q4,Men 1999-Q3,Men 2003-Q3,Men 2004-Q2,Men 2004-Q3,Men 2004-Q4,Men 2005-Q1,Men 2005-Q2,Men 2005-Q3,Men 2005-Q4,Men 2006-Q1,Men 2006-Q2,Men 2006-Q3,Men 2006-Q4,Men 2007-Q1,Men 2007-Q2,Men 2007-Q4,Men 2008-Q1,Men 2008-Q2,Men 2008-Q3,Men 2008-Q4,Men 2009-Q1,Men 2009-Q2,Men 2009-Q3,Men 2009-Q4,Men 2010-Q1,Men 2010-Q2,Men 2010-Q3,Men 2010-Q4,Men 2011-Q1,Men 2011-Q2,Men 2011-Q3,Men 2011-Q4,Men 2012-Q1,Men 2012-Q2,Men 2012-Q3,Men 2012-Q4,Men 2013-Q1,Men 2013-Q2,Men 2013-Q3,Men 2013-Q4,Men 2014-Q1,Men 2014-Q2,Men 2014-Q3,Men 2014-Q4,Men 2015-Q1,Men 2015-Q2,Men 2015-Q3,Men 2015-Q4,Men 2016-Q1,Men 2016-Q2,Men 2016-Q3,Men 2016-Q4,Men 2017-Q1,Men 2017-Q2,Men 2017-Q3,Men 2017-Q4,Men 2018-Q1,Men 2018-Q2,Men 2018-Q3,Men 2018-Q4,Men 2019-Q1,Men 2019-Q2,Men 2019-Q3,Men 2019-Q4,Men 2020-Q1,Men 2020-Q2,Men 2020-Q3,Men 2020-Q4,Men 2021-Q1,Men 2021-Q2,Men 2021-Q3,Men 2021-Q4,Women 1999-Q3,Women 2003-Q3,Women 2004-Q2,Women 2004-Q3,Women 2004-Q4,Women 2005-Q1,Women 2005-Q2,Women 2005-Q3,Women 2005-Q4,Women 2006-Q1,Women 2006-Q2,Women 2006-Q3,Women 2006-Q4,Women 2007-Q1,Women 2007-Q2,Women 2007-Q4,Women 2008-Q1,Women 2008-Q2,Women 2008-Q3,Women 2008-Q4,Women 2009-Q1,Women 2009-Q2,Women 2009-Q3,Women 2009-Q4,Women 2010-Q1,Women 2010-Q2,Women 2010-Q3,Women 2010-Q4,Women 2011-Q1,Women 2011-Q2,Women 2011-Q3,Women 2011-Q4,Women 2012-Q1,Women 2012-Q2,Women 2012-Q3,Women 2012-Q4,Women 2013-Q1,Women 2013-Q2,Women 2013-Q3,Women 2013-Q4,Women 2014-Q1,Women 2014-Q2,Women 2014-Q3,Women 2014-Q4,Women 2015-Q1,Women 2015-Q2,Women 2015-Q3,Women 2015-Q4,Women 2016-Q1,Women 2016-Q2,Women 2016-Q3,Women 2016-Q4,Women 2017-Q1,Women 2017-Q2,Women 2017-Q3,Women 2017-Q4,Women 2018-Q1,Women 2018-Q2,Women 2018-Q3,Women 2018-Q4,Women 2019-Q1,Women 2019-Q2,Women 2019-Q3,Women 2019-Q4,Women 2020-Q1,Women 2020-Q2,Women2020-Q3,Women 2020-Q4,Women 2021-Q1,Women 2021-Q2,Women 2021-Q3,Women 2021-Q4
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,138,111,119,119,120,121,121,121,121,121,117,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,97,79,83,83,84,85,85,85,85,85,82,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41,32,36,36,36,36,36,36,36,36,35,50
Austria,183,182,182,182,182,182,182,181,183,183,182,182,182,183,183,183,183,183,182,182,182,183,183,178,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,182,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,132,120,120,124,124,122,122,121,123,123,122,122,125,124,124,124,124,126,125,125,131,132,132,130,132,132,132,132,133,133,132,133,132,132,131,131,130,130,130,122,124,125,126,127,127,127,127,126,127,128,127,127,127,126,126,126,119,118,118,116,115,116,115,111,111,111,111,111,110,110,110,109,51,62,62,58,58,60,60,60,60,60,60,60,57,59,59,59,59,57,57,57,51,51,51,48,51,51,51,51,50,50,51,50,51,51,52,52,53,53,53,61,59,58,57,56,56,56,56,56,56,55,56,56,56,57,57,57,64,65,65,67,68,67,68,72,72,72,72,72,73,73,73,74
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,33,33,33,33,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,9,9,9,11,11,11,11,11,11,11,11
Belgium,150,149,149,149,149,149,149,149,150,150,149,149,149,150,150,150,150,150,150,150,150,150,149,150,150,150,149,150,150,150,150,150,150,150,150,148,148,149,150,150,150,150,150,150,150,150,150,150,150,149,150,150,150,150,149,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,115,96,95,97,97,101,96,96,97,97,96,96,96,95,98,97,97,94,94,94,93,93,92,92,93,93,90,90,90,90,90,90,91,91,91,89,88,91,91,90,89,89,92,93,91,91,92,93,93,92,92,92,92,93,92,92,93,93,94,94,94,94,87,88,88,88,88,87,87,87,86,87,35,53,54,52,52,48,53,53,53,53,53,53,53,55,52,53,53,56,56,56,57,57,57,58,57,57,59,60,60,60,60,60,59,59,59,59,60,58,59,60,61,61,58,57,59,59,58,57,57,57,58,58,58,57,57,58,57,57,56,56,56,56,63,62,62,62,62,63,63,63,64,63
Bulgaria,0,239,239,239,239,239,238,239,239,239,239,239,239,237,240,239,239,240,240,240,238,239,240,240,240,240,240,240,239,240,240,240,240,240,240,239,240,240,240,240,238,239,239,240,240,240,240,240,240,239,240,240,240,240,240,239,239,240,240,240,240,240,239,240,240,240,240,240,240,240,240,240,0,177,173,173,172,172,171,186,188,188,188,188,188,186,188,187,187,188,188,188,186,187,188,188,188,188,187,187,187,187,187,187,183,184,184,184,185,185,181,181,179,178,176,191,192,192,192,193,193,193,194,194,194,178,176,177,176,176,176,179,178,177,176,175,176,176,175,175,175,183,181,181,0,62,66,66,67,67,67,53,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,53,53,52,53,53,53,57,56,56,55,55,55,59,59,59,61,63,49,48,48,48,47,47,46,46,46,46,62,64,62,63,64,64,61,62,63,63,65,64,64,65,65,65,57,59,59
Cyprus,0,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,59,56,56,56,56,56,56,56,56,55,55,55,55,56,55,55,55,54,54,54,56,56,0,49,49,49,50,47,46,46,46,47,46,46,46,48,48,47,47,47,47,47,47,47,47,49,49,49,49,49,49,49,50,50,50,50,50,50,50,49,49,48,48,48,48,48,49,49,49,49,49,49,48,46,46,46,46,46,46,46,46,45,45,45,45,46,44,44,44,42,42,42,48,48,0,6,6,6,5,8,9,9,9,8,9,9,9,8,8,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,8,8,8,8,8,7,7,7,7,7,7,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,8,8
Czechia,0,0,0,0,199,200,200,199,199,199,199,199,199,200,200,200,200,200,200,200,200,200,199,199,199,200,200,200,200,200,200,201,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,199,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,169,169,168,167,168,172,167,168,168,171,171,171,171,171,171,169,165,165,164,163,163,164,156,156,156,156,156,156,156,156,156,157,157,157,157,161,161,160,161,161,160,160,160,160,159,159,159,159,160,160,159,156,155,156,155,155,154,153,155,155,155,155,154,155,155,155,154,151,0,0,0,0,30,31,32,32,31,27,32,31,31,29,29,29,29,29,29,31,35,35,35,36,36,36,44,44,44,44,44,45,44,44,44,43,43,43,43,39,39,40,39,39,40,40,40,40,41,41,41,41,40,40,41,44,44,44,45,45,46,47,45,45,45,45,46,45,45,45,46,49
Germany,669,610,610,600,600,600,600,600,616,613,613,613,613,622,624,596,612,612,612,612,611,611,611,622,622,621,622,622,622,621,620,620,620,620,620,620,620,620,620,631,631,631,631,631,631,631,631,630,630,630,630,630,630,630,630,709,711,712,712,709,709,709,709,708,709,709,710,711,710,710,708,736,461,412,412,403,403,403,403,403,425,420,419,412,412,428,430,401,417,418,418,418,417,415,415,418,417,419,418,419,417,416,417,416,416,416,416,416,415,414,414,401,401,401,402,401,401,403,403,403,398,398,398,397,396,396,396,490,491,492,492,490,487,487,488,487,488,486,486,489,487,485,484,481,208,198,198,197,197,197,197,197,191,193,194,201,201,194,194,195,195,194,194,194,194,196,196,204,205,202,204,203,205,205,203,204,204,204,204,204,205,206,206,230,230,230,229,230,230,228,228,227,232,232,232,233,234,234,234,219,220,220,220,219,222,222,221,221,221,223,224,222,223,225,224,255
Denmark,179,178,178,174,178,175,178,178,169,178,178,178,178,193,194,194,194,179,179,179,180,179,179,182,184,183,182,181,182,181,180,179,179,181,180,179,179,182,179,179,179,179,180,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,178,179,179,182,179,179,179,179,179,179,178,179,179,179,112,110,110,107,111,109,112,112,101,112,112,108,108,121,122,122,122,111,111,111,113,113,113,112,114,113,114,113,113,113,113,109,107,111,110,106,107,110,109,111,111,111,111,110,111,111,112,112,112,113,113,112,112,112,112,112,112,113,112,114,112,115,109,108,109,108,108,108,107,108,106,105,67,68,68,67,67,66,66,66,68,66,66,70,70,72,72,72,72,68,68,68,67,66,66,70,70,70,68,68,69,68,67,70,72,70,70,73,72,72,70,68,68,68,69,69,68,68,67,67,67,66,66,67,67,67,67,67,67,66,66,65,67,67,70,71,70,71,71,71,71,71,73,74
Estonia,0,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0,83,83,81,85,80,82,80,82,81,80,80,81,82,79,80,80,80,80,80,80,78,80,79,78,78,78,78,77,81,81,81,81,81,80,79,79,80,83,83,84,81,82,81,81,77,77,75,74,74,73,75,74,74,74,73,73,73,71,71,73,71,72,72,72,72,72,71,75,75,75,74,0,17,17,19,15,20,18,20,18,19,20,20,19,19,22,21,21,21,21,21,21,23,21,22,23,23,23,23,24,20,20,20,20,20,21,21,22,21,18,18,17,20,19,20,20,24,24,26,27,27,27,26,27,27,27,28,28,28,30,30,28,30,29,29,29,29,29,30,26,26,26,27
EEA countries (non-EU),0,209,210,210,209,209,209,210,210,212,212,212,212,215,215,215,215,215,215,215,215,215,215,257,257,257,257,257,257,257,257,256,257,257,257,257,257,257,257,255,256,257,257,256,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,0,136,139,137,138,141,134,135,141,143,144,143,143,140,143,146,146,145,143,143,141,137,140,158,159,159,160,159,159,158,158,159,159,159,159,159,161,161,161,160,161,162,162,160,161,161,160,156,156,156,156,155,157,157,157,161,161,161,161,160,161,161,161,161,161,160,160,160,156,156,157,144,0,73,71,73,71,68,75,75,69,69,68,69,69,75,72,69,69,70,72,72,74,78,75,99,98,98,97,98,98,99,99,97,98,98,98,98,96,96,96,95,95,95,95,96,96,96,97,101,101,101,101,102,100,100,100,96,96,96,96,97,96,96,96,96,96,97,97,97,101,101,100,113
Greece,300,299,299,299,299,299,299,299,299,299,299,299,299,298,297,300,300,300,300,300,301,296,296,300,299,301,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,295,300,300,300,300,300,300,300,300,300,300,280,272,263,261,260,265,280,280,260,263,263,261,261,255,255,257,257,252,252,252,253,249,249,249,248,250,248,249,247,248,248,248,243,244,237,237,237,237,237,237,237,237,237,237,231,231,230,241,244,244,244,245,245,245,245,245,245,245,245,245,245,242,235,235,235,235,235,235,235,235,239,236,20,27,36,38,39,34,19,19,39,36,36,38,38,43,42,43,43,48,48,48,48,47,47,51,51,51,52,51,53,52,52,52,57,56,63,63,63,63,63,63,63,63,63,63,69,69,70,59,56,56,56,55,55,55,55,55,55,55,55,55,55,53,65,65,65,65,65,65,65,65,61,64
Spain,350,349,349,349,349,349,349,349,349,349,349,349,348,350,350,399,399,350,350,350,350,350,350,350,350,350,350,350,350,350,350,101,350,349,350,350,350,350,350,350,350,350,350,350,350,350,349,344,350,350,350,350,350,350,350,350,350,350,350,350,350,350,349,349,348,350,350,350,350,350,349,349,273,240,222,222,222,223,223,223,223,222,222,223,223,223,221,253,253,225,226,226,225,225,225,223,222,222,222,221,220,220,217,72,219,213,213,212,210,210,210,211,211,211,210,207,203,204,201,196,212,212,213,214,211,210,210,208,206,206,204,205,205,205,181,195,195,196,197,196,197,197,198,198,77,109,127,127,127,126,126,126,126,127,127,126,125,127,129,146,146,125,124,124,125,125,125,127,128,128,128,129,130,130,133,29,131,136,137,138,140,140,140,139,139,139,140,143,147,146,148,148,138,138,137,136,139,140,140,142,144,144,146,145,145,145,168,154,153,154,153,154,153,153,151,151
European Union - 27 countries (from 2020),4193,5571,5565,5546,6404,6408,6469,6398,6334,6414,6412,6430,6430,6620,6619,6651,6665,6602,6610,6609,6616,6612,6597,6614,6622,6613,6627,6624,6625,6621,6619,6355,6599,6596,6596,6579,6678,6699,6693,6704,6697,6503,6507,6493,6504,6495,6494,6486,6487,6476,6460,6453,6427,6425,6428,6508,6503,6508,6510,6499,6505,6500,6502,6503,6504,6508,6501,6500,6499,6506,6498,6530,3261,4325,4285,4274,4963,4970,5020,4961,4883,4979,4922,4930,4941,5070,5068,5050,5063,4993,5005,4997,4997,5000,4985,4985,4988,4990,4991,4995,4990,4977,4976,4801,4921,4922,4858,4835,4865,4863,4863,4836,4831,4651,4659,4660,4656,4647,4649,4632,4649,4625,4603,4603,4558,4538,4460,4547,4534,4501,4500,4480,4477,4462,4423,4413,4416,4414,4382,4373,4378,4389,4374,4364,932,1246,1280,1272,1441,1438,1449,1437,1451,1435,1490,1500,1489,1550,1551,1601,1602,1609,1605,1612,1619,1612,1612,1629,1634,1623,1636,1629,1635,1644,1643,1554,1678,1674,1738,1744,1813,1836,1830,1868,1866,1852,1848,1833,1848,1848,1845,1854,1838,1851,1857,1850,1869,1887,1968,1961,1969,2007,2010,2019,2028,2038,2079,2090,2088,2094,2119,2127,2121,2117,2124,2166
European Union - 28 countries (1993-2020),4852,6229,6223,6204,7062,7066,7112,7042,6979,7059,7057,7075,7075,7266,7263,7297,7311,7248,7256,7254,7262,7257,7242,7259,7266,7262,7277,7274,7273,7269,7269,7005,7249,7246,7246,7223,7328,7349,7343,7354,7347,7152,7157,7142,7154,7145,7144,7135,7136,7125,7109,7102,7075,7073,7078,7158,7152,7157,7160,7149,7154,7149,7152,7153,7154,7158,7151,7150,7149,7153,7148,7177,3799,4865,4824,4813,5502,5509,5536,5478,5401,5498,5441,5449,5460,5590,5586,5570,5583,5514,5526,5517,5518,5520,5504,5504,5507,5497,5498,5502,5494,5481,5482,5307,5426,5427,5363,5335,5369,5366,5366,5339,5334,5153,5162,5161,5158,5106,5108,5090,5107,5082,5060,5059,5011,4991,4902,4989,4975,4942,4941,4921,4917,4902,4862,4852,4846,4844,4812,4803,4808,4817,4802,4789,1053,1364,1399,1391,1560,1557,1576,1564,1578,1561,1616,1626,1615,1676,1677,1727,1728,1734,1730,1737,1744,1737,1738,1755,1759,1765,1779,1772,1779,1788,1787,1698,1823,1819,1883,1888,1959,1983,1977,2015,2013,1999,1995,1981,1996,2039,2036,2045,2029,2043,2049,2043,2064,2082,2176,2169,2177,2215,2219,2228,2237,2247,2290,2301,2308,2314,2339,2347,2341,2336,2346,2388
Finland,200,199,199,199,199,199,199,199,199,199,199,199,199,200,200,200,200,200,200,201,201,199,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,126,125,125,123,123,123,123,123,123,123,123,123,123,116,116,117,117,117,117,118,118,117,120,120,120,120,120,121,121,115,115,115,115,115,115,115,114,114,114,115,115,115,116,116,116,117,117,117,117,117,117,116,116,116,116,116,116,117,117,117,117,108,107,107,108,108,108,108,108,108,108,108,74,74,74,76,76,76,76,76,76,76,76,76,76,84,84,83,83,83,83,83,83,82,80,80,80,80,80,79,79,85,85,85,85,85,85,85,86,86,86,85,85,85,84,84,84,83,83,83,83,83,83,84,84,84,84,84,84,83,83,83,83,92,93,93,92,92,92,92,92,92,92,92
France,577,576,573,575,575,575,576,571,501,576,576,574,574,572,572,576,576,576,576,576,577,577,577,576,577,576,577,577,577,577,576,562,559,559,577,574,573,574,577,577,577,574,577,574,576,576,576,577,574,574,575,573,572,569,577,576,573,577,576,574,576,577,576,576,577,579,571,575,573,573,568,570,514,506,500,502,502,502,503,497,426,501,501,499,499,496,496,470,470,469,470,469,471,471,469,468,468,467,465,466,465,464,464,454,451,450,424,422,423,424,426,426,426,424,425,422,425,424,425,426,423,426,425,423,423,419,352,351,349,351,348,346,347,349,349,349,348,348,336,339,339,339,329,333,63,70,73,73,73,73,73,74,75,75,75,75,75,76,76,106,106,107,106,107,106,106,108,108,109,109,112,111,112,113,112,108,108,109,153,152,150,150,151,151,151,150,152,152,151,152,151,151,151,148,150,150,149,150,225,225,224,226,228,228,229,228,227,227,229,231,235,236,234,234,239,237
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,152,151,153,151,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,151,151,151,151,152,150,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,150,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0,119,118,121,118,120,120,120,119,118,117,117,117,115,115,115,114,114,114,114,114,115,113,112,113,111,115,115,114,114,113,112,112,113,114,113,128,120,121,123,123,123,124,123,122,121,120,120,120,120,121,121,123,122,104,104,104,104,102,103,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,32,33,33,33,33,34,35,36,36,36,38,38,38,39,39,39,39,37,36,38,39,39,39,36,36,37,37,38,39,39,38,37,38,23,31,30,28,28,28,27,27,29,30,31,31,31,31,30,30,28,29,47,47,47,47,49,48
