,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0,385,385,385,385,384,385,385,385,385,385,385,385,386,385,383,383,378,385,386,384,385,383,384,383,386,385,385,386,384,385,385,386,386,386,386,385,386,385,384,381,199,199,198,197,198,199,199,199,199,199,199,199,199,198,199,199,198,199,199,199,199,199,196,198,199,198,199,199,199,199,199,0,348,351,351,351,350,351,351,351,350,347,346,346,344,343,340,340,335,342,344,343,345,342,341,340,351,351,351,352,350,351,351,352,352,352,351,350,350,349,348,345,180,179,178,178,179,179,179,179,179,179,179,179,179,178,179,179,175,174,174,174,175,175,172,174,175,174,174,174,174,174,173,0,37,34,34,34,34,34,34,34,35,38,39,39,42,42,43,43,43,43,42,41,40,41,43,43,35,34,34,34,34,34,34,34,34,34,35,35,36,36,36,36,19,20,20,19,19,20,20,20,20,20,20,20,20,20,20,20,23,25,25,25,24,24,24,24,24,24,25,25,25,25,26
Ireland,166,166,165,165,165,165,162,165,165,165,165,165,165,166,166,166,166,166,166,166,166,166,166,163,166,166,166,166,166,166,166,166,166,166,166,167,166,166,166,166,166,165,166,166,166,165,164,166,166,158,158,158,158,158,158,158,158,158,158,158,159,158,158,158,160,160,160,160,160,159,160,160,146,145,145,146,146,143,139,142,143,147,143,146,145,144,144,144,144,145,145,145,145,145,144,140,143,143,143,143,143,141,141,141,141,141,141,142,141,140,140,140,140,140,141,139,139,138,138,139,139,123,123,123,123,123,123,123,123,123,123,123,124,123,123,123,124,124,124,124,124,123,123,123,20,21,20,19,19,22,23,23,22,18,22,19,20,22,22,22,22,21,21,21,21,21,22,23,23,23,23,23,23,25,25,25,25,25,25,25,25,26,26,26,26,25,25,27,27,27,26,27,27,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,37,37
Instrument for Pre-accession Assistance (IPA) beneficiaries,0,0,0,0,0,0,0,0,550,550,550,545,545,550,541,918,918,918,918,912,914,914,914,914,912,912,912,912,910,910,917,920,920,922,922,922,920,921,921,920,921,912,909,878,958,958,973,1004,1003,1004,1004,1004,999,1000,997,987,992,988,1349,1348,1345,1313,1320,1321,1322,1323,1320,1314,1314,1315,1311,1328,0,0,0,0,0,0,0,0,526,526,527,531,531,526,524,780,780,780,776,770,768,769,769,770,770,768,767,767,766,765,744,740,747,749,724,723,719,717,718,714,715,710,706,684,749,749,743,782,781,782,780,776,776,775,770,760,762,758,999,996,995,974,974,969,968,970,969,966,961,960,957,959,0,0,0,0,0,0,0,0,24,24,23,14,14,24,17,138,138,138,142,142,146,145,145,144,142,144,145,145,144,145,173,180,173,173,198,199,201,204,203,206,206,202,203,194,209,209,230,222,222,222,224,228,223,225,227,227,230,230,350,352,350,339,346,352,354,353,351,348,353,355,354,369
Iceland,0,62,63,63,62,62,62,63,61,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,62,63,63,63,63,63,63,63,61,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,40,43,43,43,43,42,43,41,42,42,41,41,40,43,43,43,42,42,42,40,36,36,36,36,36,37,37,37,37,37,38,38,38,38,38,39,38,38,36,37,38,38,37,37,37,36,34,34,34,34,33,33,33,33,39,39,39,39,39,39,39,39,39,39,38,38,38,38,38,39,33,0,22,20,20,19,19,20,20,20,20,20,21,21,23,20,20,20,21,21,21,23,27,27,27,27,27,26,26,26,26,26,24,25,25,25,25,24,25,25,25,25,25,25,26,26,26,27,29,29,29,29,30,30,30,30,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,24,30
Italy,630,616,616,609,616,616,677,617,610,610,610,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,620,617,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,629,628,628,630,630,630,629,630,629,625,629,628,629,558,545,545,538,545,545,598,545,539,539,502,522,522,521,521,521,521,497,496,496,496,496,496,496,496,497,497,497,497,497,495,495,494,495,495,495,451,432,432,433,433,432,427,424,435,435,434,434,434,434,434,435,435,435,435,435,433,405,406,404,404,403,403,403,403,403,404,403,400,401,400,401,72,71,71,71,71,71,79,72,71,71,108,108,108,109,109,109,109,133,134,134,134,134,134,134,134,133,133,133,133,133,135,135,136,135,135,135,179,198,198,197,197,198,193,193,195,195,196,196,196,196,196,195,195,195,195,195,197,225,224,225,224,225,227,227,227,226,226,226,225,228,228,228
Liechtenstein,0,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,21,21,21,21,21,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,21,22,22,22,22,22,22,22,22,18,18,18,18,0,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,7,7,7,7
Lithuania,0,0,0,0,140,140,140,139,140,140,140,140,140,141,140,141,141,141,141,141,141,141,139,139,141,141,141,141,140,140,141,141,140,140,139,135,135,141,141,141,141,141,141,140,140,140,141,141,141,141,140,141,140,140,141,141,140,140,140,141,141,139,138,141,140,140,140,141,141,141,141,141,0,0,0,0,109,114,109,108,108,110,109,108,109,108,107,108,108,108,108,108,115,115,113,113,114,114,114,114,113,113,114,114,113,113,112,103,101,107,107,107,107,107,108,107,107,106,107,107,107,107,106,111,111,111,112,112,111,110,110,110,110,108,106,107,106,106,106,104,103,101,101,101,0,0,0,0,31,26,31,31,32,30,31,32,31,33,33,33,33,33,33,33,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,32,34,34,34,34,34,34,33,33,33,34,34,34,34,34,34,30,29,29,29,29,29,30,30,31,31,31,32,34,34,34,34,37,38,40,40,40
Luxembourg,60,59,59,59,59,59,59,58,58,58,58,58,59,59,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,47,47,43,45,45,45,45,46,45,45,44,45,44,45,45,45,44,45,45,45,45,48,48,48,48,48,48,48,46,45,45,46,46,46,46,47,47,47,46,43,43,44,43,43,43,43,43,43,43,43,43,43,43,43,43,44,43,41,47,45,45,45,43,41,41,41,41,41,41,39,39,10,12,12,16,14,14,14,13,12,13,13,14,14,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,14,15,14,14,14,14,14,13,13,13,14,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,19,13,15,15,15,17,19,19,19,19,19,19,21,21
Latvia,0,99,99,99,99,99,99,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,0,79,79,82,82,79,79,78,78,80,78,78,80,81,81,80,80,79,79,79,78,81,78,78,78,78,79,81,80,81,79,79,77,77,77,77,77,77,76,75,75,75,74,82,83,83,84,83,85,84,84,84,84,85,82,83,84,83,82,69,70,70,70,70,70,70,69,71,73,73,72,72,0,20,20,17,17,20,20,21,21,19,21,21,19,19,19,20,20,21,21,21,22,19,22,22,22,22,21,19,20,19,21,21,23,23,23,23,23,23,23,25,25,25,26,18,17,17,16,17,15,16,16,16,16,15,18,17,16,17,18,31,30,30,30,30,30,30,31,29,27,27,27,28
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,81,81,80,81,81,81,79,81,81,81,81,81,81,81,81,81,81,81,81,81,81,78,78,81,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,67,66,67,66,62,60,62,62,62,62,62,62,62,62,62,61,57,57,57,57,58,57,60,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,15,19,19,19,19,19,19,19,19,19,19,19,20,24,24,24,24,20,21,21,22,22
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,120,119,118,120,120,120,120,120,120,120,120,120,117,121,121,123,123,123,122,123,123,123,123,123,123,92,92,92,92,123,123,123,123,123,120,120,120,113,120,120,120,120,120,120,119,120,120,120,120,120,118,118,117,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,83,82,80,82,82,81,81,80,79,79,79,78,79,81,83,85,85,84,82,81,81,81,81,83,81,59,59,59,59,81,80,80,80,80,83,82,79,72,75,75,75,74,74,74,71,72,72,72,77,77,72,72,71,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,37,37,38,38,38,39,39,40,41,41,41,42,38,40,38,38,38,39,40,42,42,42,42,40,42,33,33,33,33,42,43,43,43,43,37,38,41,41,45,45,45,46,46,46,48,48,48,48,43,43,46,46,46,45
Malta,0,0,0,0,64,67,67,64,64,64,64,64,64,64,64,64,64,69,69,69,69,69,69,69,68,68,69,69,69,69,69,69,69,69,69,69,60,70,68,70,70,70,70,70,69,69,69,69,69,69,69,69,71,71,71,69,67,67,69,69,67,67,67,67,67,66,66,67,67,67,67,67,0,0,0,0,58,61,61,58,58,58,58,58,58,58,58,58,58,63,63,63,63,63,63,63,62,62,63,63,63,63,63,63,63,63,63,63,53,60,58,60,60,61,61,61,60,60,60,60,60,60,60,60,62,62,62,59,57,57,59,59,57,57,57,57,58,58,58,58,58,58,58,58,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,9,8,8,9,9,9,9,9
Netherlands,150,149,149,149,149,149,149,149,149,149,149,149,149,150,150,150,150,150,150,150,150,150,147,150,149,150,150,150,150,150,150,150,150,150,150,150,150,150,149,150,150,150,150,150,150,149,149,150,150,150,150,150,150,150,150,150,150,149,150,150,149,149,150,150,150,148,150,150,149,150,149,150,96,92,90,90,89,89,89,90,91,91,91,91,93,94,92,92,92,90,90,88,89,86,85,87,86,87,88,88,92,90,89,89,89,88,88,92,92,92,93,93,92,92,92,94,94,93,92,92,92,93,92,93,93,96,96,97,97,98,100,101,101,103,101,100,99,100,101,102,91,89,89,89,54,57,59,59,60,60,60,59,58,58,58,58,56,56,58,58,58,60,60,62,61,64,62,63,63,63,62,62,58,60,61,61,61,62,62,58,58,58,56,57,58,58,58,56,56,56,57,58,58,57,58,57,57,54,54,53,53,51,50,49,48,46,49,50,51,48,49,48,58,61,60,61
Norway,0,123,123,123,123,123,123,123,125,126,126,126,126,127,127,127,127,127,127,127,127,127,127,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,168,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,0,75,75,73,74,77,74,74,82,83,84,84,84,81,81,84,84,84,82,82,82,82,85,104,104,104,104,103,103,102,102,102,102,102,102,102,102,103,103,104,104,104,104,103,104,104,104,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,0,48,48,50,49,46,49,49,43,43,42,42,42,46,46,43,43,43,45,45,45,45,42,65,65,65,65,66,66,67,67,67,67,67,67,67,67,66,66,65,65,65,65,65,65,65,65,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,76
Poland,0,0,0,0,459,459,459,459,460,459,459,459,459,464,460,461,461,461,462,462,463,464,460,460,459,445,460,460,460,460,459,460,460,460,460,460,460,460,460,459,460,460,460,458,460,460,460,460,460,460,460,460,459,460,460,460,460,460,460,455,460,460,460,460,460,460,460,459,459,460,460,460,0,0,0,0,362,359,361,358,365,368,367,370,370,371,368,367,367,367,368,368,369,370,368,368,368,358,370,369,366,366,365,350,351,351,350,350,350,350,350,347,348,347,351,350,346,345,344,335,331,331,331,331,330,330,330,329,329,329,329,324,326,326,329,328,329,329,329,328,330,330,330,330,0,0,0,0,97,100,98,101,95,91,92,89,89,93,92,94,94,94,94,94,94,94,92,92,91,87,90,91,94,94,94,110,109,109,110,110,110,110,110,112,112,113,109,108,114,115,116,125,129,129,129,129,129,130,130,131,131,131,131,131,134,134,131,132,131,131,131,131,129,130,130,130
Portugal,230,229,228,229,229,230,229,229,229,229,229,229,229,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,228,230,230,230,230,230,230,230,228,230,231,230,230,198,182,181,184,184,184,175,171,171,169,171,172,172,171,170,164,164,162,164,164,161,161,161,162,162,162,161,160,160,160,165,163,165,165,164,163,161,161,163,158,157,159,160,158,158,158,159,151,150,152,151,151,151,149,149,149,150,148,147,145,146,146,147,137,138,137,138,138,137,138,137,136,32,47,47,45,45,46,54,58,58,60,58,57,57,59,60,66,66,68,66,66,69,69,69,68,68,68,69,70,70,70,65,67,65,65,66,67,69,69,67,72,73,71,70,72,72,72,71,79,80,78,79,79,79,81,81,81,80,82,83,83,84,84,83,93,92,93,92,90,93,93,93,94
Romania,0,344,344,343,331,331,331,329,330,330,330,330,330,328,327,330,330,329,329,326,334,334,334,333,333,334,334,333,333,332,331,330,328,326,309,303,412,412,409,407,404,402,404,401,396,388,387,382,381,378,357,353,329,329,326,329,327,329,329,329,329,329,329,329,329,329,328,324,330,330,330,330,0,306,305,304,293,294,294,292,293,293,293,293,293,293,292,299,299,298,298,293,296,301,296,295,296,296,296,295,296,295,294,293,293,291,274,268,357,357,354,352,349,348,349,346,341,335,334,329,328,325,306,303,263,262,258,259,257,258,257,257,257,257,257,257,257,257,256,252,262,267,262,262,0,38,39,39,38,37,37,37,37,37,37,37,37,35,35,31,31,31,31,33,38,33,38,38,37,38,38,38,37,37,37,37,35,35,35,35,55,55,55,55,55,54,55,55,55,53,53,53,53,53,51,50,66,67,68,70,70,71,72,72,72,72,72,72,72,72,72,72,68,63,68,68
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250,250,250,246,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,249,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,198,198,195,191,192,192,192,194,195,194,194,194,194,195,194,189,194,194,169,169,168,167,168,164,165,165,165,166,165,165,165,166,166,166,165,165,164,162,161,159,159,158,157,156,157,157,157,156,156,157,153,151,151,151,152,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,55,55,58,58,58,56,55,56,56,56,55,55,56,61,56,56,81,81,82,83,82,85,85,85,84,84,85,85,85,84,84,84,85,85,86,88,89,91,91,92,93,94,93,93,93,94,94,93,97,98,99,99,98,99
Sweden,349,349,349,349,349,349,349,348,348,348,348,348,348,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,350,349,349,349,349,349,349,349,349,350,349,349,349,349,349,349,200,192,192,194,182,191,189,188,178,180,179,181,183,180,182,184,184,186,187,187,181,183,185,187,186,185,185,190,190,189,190,192,193,199,197,197,198,197,196,194,200,198,196,197,197,197,197,197,193,190,191,189,188,188,188,188,191,189,188,186,187,184,186,183,183,181,182,176,183,184,185,183,149,157,157,155,167,158,160,160,170,168,169,167,165,169,167,165,165,163,162,162,168,166,164,162,163,164,164,159,159,160,159,157,156,150,152,152,151,152,153,155,149,151,153,152,152,152,152,152,156,159,158,160,161,161,161,161,159,160,161,163,162,165,163,166,166,169,167,173,166,165,164,166
Slovenia,0,89,89,89,86,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,88,89,89,90,90,90,90,90,90,89,90,90,90,90,90,90,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,77,77,76,75,76,77,77,77,75,75,77,77,78,78,79,79,79,79,78,77,77,76,76,77,76,76,74,75,74,75,75,58,57,57,56,57,59,60,60,60,60,58,55,56,57,59,59,59,59,59,58,58,58,58,58,58,59,68,65,65,65,65,65,65,66,66,66,65,65,65,65,0,12,12,13,11,13,12,12,12,14,14,12,12,12,12,11,11,11,11,12,13,13,14,14,13,14,14,14,14,15,15,15,32,33,33,34,32,31,30,30,30,30,32,34,34,33,31,31,31,31,31,32,32,32,32,32,32,31,22,25,25,25,25,25,25,24,24,24,25,25,25,25
Slovakia,0,150,149,149,149,149,149,149,149,149,149,149,149,149,150,150,150,150,150,150,150,150,146,150,150,150,150,150,150,150,150,150,152,150,150,150,150,150,150,150,150,143,150,150,150,150,150,150,148,150,151,151,150,150,149,150,150,149,149,150,150,149,150,150,148,150,150,150,150,150,151,150,0,122,121,124,124,124,124,124,123,125,125,118,118,119,121,122,122,122,122,122,121,122,119,123,123,123,126,126,126,126,126,126,128,126,122,122,122,122,122,122,122,115,120,120,120,119,120,120,120,120,120,120,119,119,118,118,118,117,118,119,119,118,119,119,117,118,116,116,116,117,119,118,0,28,28,25,25,25,25,25,26,24,24,31,31,30,29,28,28,28,28,28,29,28,27,27,27,27,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,30,30,30,31,30,30,28,30,31,31,31,31,31,32,32,32,31,31,31,31,31,31,31,32,34,34,34,33,32,32
Turkey,0,0,0,0,0,0,0,0,550,550,550,545,545,550,541,548,548,548,548,547,546,544,544,544,542,542,542,542,541,540,550,549,549,549,549,549,548,548,548,548,548,539,537,536,535,535,550,550,550,550,550,550,550,549,546,543,541,537,596,596,595,590,589,589,589,589,586,584,585,583,584,583,0,0,0,0,0,0,0,0,526,526,527,531,531,526,524,498,498,498,498,497,496,495,495,495,494,494,494,494,493,492,471,470,470,470,470,470,469,469,469,469,469,462,460,459,458,458,452,468,469,469,469,469,469,469,468,467,466,463,492,492,491,488,487,487,487,487,485,483,484,482,483,482,0,0,0,0,0,0,0,0,24,24,23,14,14,24,17,50,50,50,50,50,50,49,49,49,48,48,48,48,48,48,79,79,79,79,79,79,79,79,79,79,79,77,77,77,77,77,98,82,81,81,81,81,81,80,78,76,75,74,104,104,104,102,102,102,102,102,101,101,101,101,101,101
United Kingdom,659,658,658,658,658,658,643,644,645,645,645,645,645,646,644,646,646,646,646,645,646,645,645,645,644,649,650,650,648,648,650,650,650,650,650,644,650,650,650,650,650,649,650,649,650,650,650,649,649,649,649,649,648,648,650,650,649,649,650,650,649,649,650,650,650,650,650,650,650,647,650,647,538,540,539,539,539,539,516,517,518,519,519,519,519,520,518,520,520,521,521,520,521,520,519,519,519,507,507,507,504,504,506,506,505,505,505,500,504,503,503,503,503,502,503,501,502,459,459,458,458,457,457,456,453,453,442,442,441,441,441,441,440,440,439,439,430,430,430,430,430,428,428,425,121,118,119,119,119,119,127,127,127,126,126,126,126,126,126,126,126,125,125,125,125,125,126,126,125,142,143,143,144,144,144,144,145,145,145,144,146,147,147,147,147,147,147,148,148,191,191,191,191,192,192,193,195,195,208,208,208,208,209,209,209,209,211,211,220,220,220,220,220,219,222,222
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,119,119,119,120,120,120,120,120,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,81,81,81,82,81,81,81,81,81,81,79,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38,38,38,39,39,39,39,39,39,41,41,41